fips,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,hud_area_code,hud_area_name,countyname,pop,state_alpha,metro
100199999,640,766,908,1148,1520,1,METRO33860M33860,"Montgomery, AL MSA",Autauga County,55035,AL,1
100399999,718,723,922,1249,1584,1,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,203360,AL,1
100599999,488,492,648,806,907,1,NCNTY01005N01005,"Barbour County, AL",Barbour County,26200,AL,0
100799999,817,871,1002,1303,1409,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,22580,AL,1
100999999,817,871,1002,1303,1409,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,57665,AL,1
101199999,532,549,705,877,1034,1,NCNTY01011N01011,"Bullock County, AL",Bullock County,10480,AL,0
101399999,479,556,634,789,930,1,NCNTY01013N01013,"Butler County, AL",Butler County,20125,AL,0
101599999,482,549,723,944,1094,1,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,115525,AL,1
101799999,534,620,744,956,1046,1,NCNTY01017N01017,"Chambers County, AL",Chambers County,33895,AL,0
101999999,479,481,634,877,880,1,NCNTY01019N01019,"Cherokee County, AL",Cherokee County,25855,AL,0
102199999,595,625,713,1020,1061,1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",Chilton County,43805,AL,1
102399999,479,481,634,789,910,1,NCNTY01023N01023,"Choctaw County, AL",Choctaw County,13190,AL,0
102599999,479,493,634,907,930,1,NCNTY01025N01025,"Clarke County, AL",Clarke County,24625,AL,0
102799999,479,556,634,868,1060,1,NCNTY01027N01027,"Clay County, AL",Clay County,13405,AL,0
102999999,479,481,634,892,968,1,NCNTY01029N01029,"Cleburne County, AL",Cleburne County,14940,AL,0
103199999,522,551,692,990,1184,1,NCNTY01031N01031,"Coffee County, AL",Coffee County,51075,AL,0
103399999,525,580,748,943,1213,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",Colbert County,54435,AL,1
103599999,479,532,634,907,930,1,NCNTY01035N01035,"Conecuh County, AL",Conecuh County,12650,AL,0
103799999,520,523,689,857,1011,1,NCNTY01037N01037,"Coosa County, AL",Coosa County,10955,AL,0
103999999,479,499,634,846,1044,1,NCNTY01039N01039,"Covington County, AL",Covington County,37520,AL,0
104199999,479,481,634,789,930,1,NCNTY01041N01041,"Crenshaw County, AL",Crenshaw County,13865,AL,0
104399999,494,541,665,898,902,1,NCNTY01043N01043,"Cullman County, AL",Cullman County,81705,AL,0
104599999,523,526,634,890,1098,1,NCNTY01045N01045,"Dale County, AL",Dale County,49395,AL,0
104799999,492,498,646,804,876,1,NCNTY01047N01047,"Dallas County, AL",Dallas County,40755,AL,0
104999999,418,492,634,852,936,1,NCNTY01049N01049,"DeKalb County, AL",DeKalb County,71195,AL,0
105199999,640,766,908,1148,1520,1,METRO33860M33860,"Montgomery, AL MSA",Elmore County,80990,AL,1
105399999,479,537,634,809,991,1,NCNTY01053N01053,"Escambia County, AL",Escambia County,37620,AL,0
105599999,557,560,717,902,1002,1,METRO23460M23460,"Gadsden, AL MSA",Etowah County,103130,AL,1
105799999,479,556,634,802,930,1,NCNTY01057N01057,"Fayette County, AL",Fayette County,16655,AL,0
105999999,479,539,634,796,1043,1,NCNTY01059N01059,"Franklin County, AL",Franklin County,31505,AL,0
106199999,543,547,706,923,1057,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",Geneva County,26570,AL,1
106399999,479,556,634,840,860,1,NCNTY01063N01063,"Greene County, AL",Greene County,8535,AL,0
106599999,691,695,839,1061,1138,1,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",Hale County,14995,AL,1
106799999,492,532,634,858,1098,1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",Henry County,17110,AL,1
106999999,543,547,706,923,1057,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",Houston County,104110,AL,1
107199999,459,574,695,864,1020,1,NCNTY01071N01071,"Jackson County, AL",Jackson County,52325,AL,0
107399999,817,871,1002,1303,1409,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Jefferson County,659460,AL,1
107599999,479,545,634,857,860,1,NCNTY01075N01075,"Lamar County, AL",Lamar County,14020,AL,0
107799999,525,580,748,943,1213,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",Lauderdale County,92590,AL,1
107999999,509,574,708,925,960,1,METRO19460M19460,"Decatur, AL MSA",Lawrence County,33290,AL,1
108199999,590,625,824,1078,1227,1,METRO12220M12220,"Auburn-Opelika, AL MSA",Lee County,156595,AL,1
108399999,589,690,821,1089,1387,1,METRO26620M26620,"Huntsville, AL MSA",Limestone County,91695,AL,1
108599999,640,766,908,1148,1520,1,METRO33860M33860,"Montgomery, AL MSA",Lowndes County,10360,AL,1
108799999,501,504,664,826,1150,1,NCNTY01087N01087,"Macon County, AL",Macon County,19360,AL,0
108999999,589,690,821,1089,1387,1,METRO26620M26620,"Huntsville, AL MSA",Madison County,353215,AL,1
109199999,479,556,634,876,1098,1,NCNTY01091N01091,"Marengo County, AL",Marengo County,19745,AL,0
109399999,479,481,634,857,1098,1,NCNTY01093N01093,"Marion County, AL",Marion County,30060,AL,0
109599999,503,506,660,880,895,1,NCNTY01095N01095,"Marshall County, AL",Marshall County,94740,AL,0
109799999,642,658,824,1097,1212,1,METRO33660M33660,"Mobile, AL MSA",Mobile County,414330,AL,1
109999999,479,556,634,789,925,1,NCNTY01099N01099,"Monroe County, AL",Monroe County,21745,AL,0
110199999,640,766,908,1148,1520,1,METRO33860M33860,"Montgomery, AL MSA",Montgomery County,227120,AL,1
110399999,509,574,708,925,960,1,METRO19460M19460,"Decatur, AL MSA",Morgan County,119155,AL,1
110599999,479,556,634,789,942,1,NCNTY01105N01105,"Perry County, AL",Perry County,9680,AL,0
110799999,490,493,634,857,860,1,METRO46220N01107,"Pickens County, AL HUD Metro FMR Area",Pickens County,20170,AL,1
110999999,510,576,675,885,990,1,NCNTY01109N01109,"Pike County, AL",Pike County,33285,AL,0
111199999,479,556,634,857,860,1,NCNTY01111N01111,"Randolph County, AL",Randolph County,22530,AL,0
111399999,644,717,832,1118,1441,1,METRO17980M17980,"Columbus, GA-AL MSA",Russell County,58480,AL,1
111599999,817,871,1002,1303,1409,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",St. Clair County,86935,AL,1
111799999,817,871,1002,1303,1409,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Shelby County,208720,AL,1
111999999,585,603,775,964,1051,1,NCNTY01119N01119,"Sumter County, AL",Sumter County,13085,AL,0
112199999,510,512,675,880,988,1,NCNTY01121N01121,"Talladega County, AL",Talladega County,80890,AL,0
112399999,481,504,634,891,1077,1,NCNTY01123N01123,"Tallapoosa County, AL",Tallapoosa County,40755,AL,0
112599999,691,695,839,1061,1138,1,METRO46220M46220,"Tuscaloosa, AL HUD Metro FMR Area",Tuscaloosa County,204425,AL,1
112799999,546,549,724,901,982,1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",Walker County,64925,AL,1
112999999,489,504,648,852,951,1,NCNTY01129N01129,"Washington County, AL",Washington County,16745,AL,0
113199999,479,487,634,789,930,1,NCNTY01131N01131,"Wilcox County, AL",Wilcox County,10920,AL,0
113399999,479,481,634,907,909,1,NCNTY01133N01133,"Winston County, AL",Winston County,23970,AL,0
201399999,783,853,1115,1387,1512,2,NCNTY02013N02013,"Aleutians East Borough, AK",Aleutians East Borough,3340,AK,0
201699999,1052,1210,1595,1984,2384,2,NCNTY02016N02016,"Aleutians West Census Area, AK",Aleutians West Census Area,5785,AK,0
202099999,877,926,1220,1746,2112,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",Anchorage Municipality,298225,AK,1
205099999,1146,1407,1614,2008,2189,2,NCNTY02050N02050,"Bethel Census Area, AK",Bethel Census Area,17955,AK,0
206099999,760,859,1082,1460,1552,2,NCNTY02060N02060,"Bristol Bay Borough, AK",Bristol Bay Borough,915,AK,0
206899999,1020,1111,1453,1807,2171,2,NCNTY02068N02068,"Denali Borough, AK",Denali Borough,2305,AK,0
207099999,897,1047,1277,1704,1732,2,NCNTY02070N02070,"Dillingham Census Area, AK",Dillingham Census Area,4975,AK,0
209099999,858,987,1301,1862,2253,2,METRO21820M21820,"Fairbanks, AK MSA",Fairbanks North Star Borough,100030,AK,1
210099999,694,756,989,1312,1478,2,NCNTY02100N02100,"Haines Borough, AK",Haines Borough,2535,AK,0
210599999,670,860,1015,1314,1376,2,NCNTY02105N02105,"Hoonah-Angoon Census Area, AK",Hoonah-Angoon Census Area,2145,AK,0
211099999,932,1124,1413,2022,2446,2,NCNTY02110N02110,"Juneau City and Borough, AK",Juneau City and Borough,32435,AK,0
212299999,814,817,1077,1494,1624,2,NCNTY02122N02122,"Kenai Peninsula Borough, AK",Kenai Peninsula Borough,57960,AK,0
213099999,893,1027,1353,1801,2326,2,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",Ketchikan Gateway Borough,13745,AK,0
215099999,969,1115,1469,1860,2176,2,NCNTY02150N02150,"Kodiak Island Borough, AK",Kodiak Island Borough,13775,AK,0
215899999,606,659,863,1073,1230,2,NCNTY02158N02158,Kusilvak Census Area,Kusilvak Census Area,8130,AK,0
216499999,580,654,826,1112,1433,2,NCNTY02164N02164,"Lake and Peninsula Borough, AK",Lake and Peninsula Borough,1300,AK,0
217099999,733,775,1020,1460,1766,2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",Matanuska-Susitna Borough,101135,AK,1
218099999,1193,1259,1534,1970,2080,2,NCNTY02180N02180,"Nome Census Area, AK",Nome Census Area,9870,AK,0
218599999,1070,1077,1419,1765,1924,2,NCNTY02185N02185,"North Slope Borough, AK",North Slope Borough,9755,AK,0
218899999,1115,1122,1385,1871,1878,2,NCNTY02188N02188,"Northwest Arctic Borough, AK",Northwest Arctic Borough,7715,AK,0
219599999,795,862,1132,1408,1781,2,NCNTY02195N02195,Petersburg Borough,Petersburg Borough,3275,AK,0
219899999,735,771,1016,1264,1378,2,NCNTY02198N02198,"Prince of Wales-Hyder Census Area, AK",Prince of Wales-Hyder Census Area,6475,AK,0
222099999,862,1008,1179,1667,2010,2,NCNTY02220N02220,"Sitka City and Borough, AK",Sitka City and Borough,8810,AK,0
223099999,897,1063,1265,1618,1890,2,NCNTY02230N02230,"Skagway Municipality, AK",Skagway Municipality,1040,AK,0
224099999,929,992,1210,1732,1808,2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",Southeast Fairbanks Census Area,6890,AK,0
226199999,740,983,1121,1394,1675,2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",Valdez-Cordova Census Area,9440,AK,0
227599999,688,690,910,1229,1360,2,NCNTY02275N02275,"Wrangell City and Borough, AK",Wrangell City and Borough,2475,AK,0
228299999,817,882,1163,1447,1738,2,NCNTY02282N02282,"Yakutat City and Borough, AK",Yakutat City and Borough,680,AK,0
229099999,553,691,788,1128,1364,2,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk Census Area,5455,AK,0
400199999,534,596,785,1025,1101,4,NCNTY04001N04001,"Apache County, AZ",Apache County,71600,AZ,0
400399999,663,667,874,1251,1513,4,METRO43420M43420,"Sierra Vista-Douglas, AZ MSA",Cochise County,126515,AZ,1
400599999,1026,1062,1315,1712,2058,4,METRO22380M22380,"Flagstaff, AZ MSA",Coconino County,138640,AZ,1
400799999,723,728,959,1296,1300,4,NCNTY04007N04007,"Gila County, AZ",Gila County,53145,AZ,0
400999999,722,771,898,1285,1417,4,NCNTY04009N04009,"Graham County, AZ",Graham County,37700,AZ,0
401199999,510,661,754,1014,1124,4,NCNTY04011N04011,"Greenlee County, AZ",Greenlee County,9370,AZ,0
401299999,643,722,952,1292,1334,4,NCNTY04012N04012,"La Paz County, AZ",La Paz County,20475,AZ,0
401399999,933,1032,1251,1765,2010,4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",Maricopa County,4155500,AZ,1
401599999,645,725,905,1295,1427,4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",Mohave County,204690,AZ,1
401799999,587,670,883,1187,1225,4,NCNTY04017N04017,"Navajo County, AZ",Navajo County,107900,AZ,0
401999999,633,728,959,1372,1627,4,METRO46060M46060,"Tucson, AZ MSA",Pima County,1007255,AZ,1
402199999,933,1032,1251,1765,2010,4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",Pinal County,405535,AZ,1
402399999,557,598,788,1065,1069,4,NCNTY04023N04023,"Santa Cruz County, AZ",Santa Cruz County,46360,AZ,0
402599999,698,822,1051,1458,1583,4,METRO39140M39140,"Prescott, AZ MSA",Yavapai County,220970,AZ,1
402799999,665,705,927,1321,1605,4,METRO49740M49740,"Yuma, AZ MSA",Yuma County,204280,AZ,1
500199999,506,524,691,874,943,5,NCNTY05001N05001,"Arkansas County, AR",Arkansas County,18350,AR,0
500399999,479,563,654,866,890,5,NCNTY05003N05003,"Ashley County, AR",Ashley County,20770,AR,0
500599999,505,562,721,897,978,5,NCNTY05005N05005,"Baxter County, AR",Baxter County,41095,AR,0
500799999,579,618,780,1116,1350,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Benton County,251825,AR,1
500999999,479,548,654,912,915,5,NCNTY05009N05009,"Boone County, AR",Boone County,37210,AR,0
501199999,479,520,654,844,1132,5,NCNTY05011N05011,"Bradley County, AR",Bradley County,10995,AR,0
501399999,538,558,735,914,1059,5,NCNTY05013N05013,"Calhoun County, AR",Calhoun County,5195,AR,0
501599999,437,509,663,825,899,5,NCNTY05015N05015,"Carroll County, AR",Carroll County,27780,AR,0
501799999,479,574,654,900,1060,5,NCNTY05017N05017,"Chicot County, AR",Chicot County,11010,AR,0
501999999,442,565,658,876,1028,5,NCNTY05019N05019,"Clark County, AR",Clark County,22495,AR,0
502199999,493,496,654,826,1132,5,NCNTY05021N05021,"Clay County, AR",Clay County,15190,AR,0
502399999,514,533,703,901,953,5,NCNTY05023N05023,"Cleburne County, AR",Cleburne County,25360,AR,0
502599999,542,553,729,919,1091,5,METRO38220M38220,"Pine Bluff, AR MSA",Cleveland County,8330,AR,1
502799999,493,496,654,868,1015,5,NCNTY05027N05027,"Columbia County, AR",Columbia County,23990,AR,0
502999999,477,496,654,892,1021,5,NCNTY05029N05029,"Conway County, AR",Conway County,20955,AR,0
503199999,535,631,811,1077,1323,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",Craighead County,104245,AR,1
503399999,551,552,728,1011,1177,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",Crawford County,62120,AR,1
503599999,686,784,911,1228,1412,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",Crittenden County,49280,AR,1
503799999,522,541,713,925,1118,5,NCNTY05037N05037,"Cross County, AR",Cross County,17165,AR,0
503999999,479,496,654,936,943,5,NCNTY05039N05039,"Dallas County, AR",Dallas County,7585,AR,0
504199999,479,496,654,881,1060,5,NCNTY05041N05041,"Desha County, AR",Desha County,12095,AR,0
504399999,479,496,654,857,943,5,NCNTY05043N05043,"Drew County, AR",Drew County,18620,AR,0
