fips,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,hud_area_code,countyname,pop,state_alpha,metro
100199999,588,691,829,1055,1451,1,METRO33860M33860,Autauga County,54571,AL,1
100399999,729,762,879,1280,1471,1,METRO19300M19300,Baldwin County,182265,AL,1
100599999,491,494,657,824,929,1,NCNTY01005N01005,Barbour County,27457,AL,0
100799999,692,768,882,1176,1315,1,METRO13820M13820,Bibb County,22915,AL,1
100999999,692,768,882,1176,1315,1,METRO13820M13820,Blount County,57322,AL,1
101199999,483,483,606,822,825,1,NCNTY01011N01011,Bullock County,10914,AL,0
101399999,453,456,606,809,985,1,NCNTY01013N01013,Butler County,20947,AL,0
101599999,477,511,679,887,1035,1,METRO11500M11500,Calhoun County,118572,AL,1
101799999,440,556,676,846,932,1,NCNTY01017N01017,Chambers County,34215,AL,0
101999999,453,456,606,854,857,1,NCNTY01019N01019,Cherokee County,25989,AL,0
102199999,506,551,633,921,1115,1,METRO13820N01021,Chilton County,43643,AL,1
102399999,506,509,677,849,957,1,NCNTY01023N01023,Choctaw County,13859,AL,0
102599999,483,528,606,881,978,1,NCNTY01025N01025,Clarke County,25833,AL,0
102799999,513,528,606,881,1067,1,NCNTY01027N01027,Clay County,13932,AL,0
102999999,473,476,633,794,1041,1,NCNTY01029N01029,Cleburne County,14972,AL,0
103199999,524,526,619,900,1090,1,NCNTY01031N01031,Coffee County,49948,AL,0
103399999,526,529,669,887,1110,1,METRO22520M22520,Colbert County,54428,AL,1
103599999,453,456,606,854,857,1,NCNTY01035N01035,Conecuh County,13228,AL,0
103799999,502,502,630,849,891,1,NCNTY01037N01037,Coosa County,11539,AL,0
103999999,453,456,606,801,1067,1,NCNTY01039N01039,Covington County,37765,AL,0
104199999,456,459,606,773,971,1,NCNTY01041N01041,Crenshaw County,13906,AL,0
104399999,472,500,619,817,843,1,NCNTY01043N01043,Cullman County,80406,AL,0
104599999,403,486,614,840,1081,1,NCNTY01045N01045,Dale County,50251,AL,0
104799999,474,517,606,813,933,1,NCNTY01047N01047,Dallas County,43820,AL,0
104999999,537,541,717,901,989,1,NCNTY01049N01049,DeKalb County,71109,AL,0
105199999,588,691,829,1055,1451,1,METRO33860M33860,Elmore County,79303,AL,1
105399999,513,528,606,797,825,1,NCNTY01053N01053,Escambia County,38319,AL,0
105599999,494,497,661,829,972,1,METRO23460M23460,Etowah County,104430,AL,1
105799999,483,528,606,851,857,1,NCNTY01057N01057,Fayette County,17241,AL,0
105999999,483,519,606,760,857,1,NCNTY01059N01059,Franklin County,31704,AL,0
106199999,531,535,695,934,1090,1,METRO20020M20020,Geneva County,26790,AL,1
106399999,483,483,606,854,857,1,NCNTY01063N01063,Greene County,9045,AL,0
106599999,599,660,805,1034,1096,1,METRO46220M46220,Hale County,15760,AL,1
106799999,538,554,636,797,1120,1,METRO20020N01067,Henry County,17302,AL,1
106999999,531,535,695,934,1090,1,METRO20020M20020,Houston County,101547,AL,1
107199999,399,517,625,784,851,1,NCNTY01071N01071,Jackson County,53227,AL,0
107399999,692,768,882,1176,1315,1,METRO13820M13820,Jefferson County,658466,AL,1
107599999,483,523,606,854,857,1,NCNTY01075N01075,Lamar County,14564,AL,0
107799999,526,529,669,887,1110,1,METRO22520M22520,Lauderdale County,92709,AL,1
107999999,443,523,669,873,926,1,METRO19460M19460,Lawrence County,34339,AL,1
108199999,557,633,827,1107,1339,1,METRO12220M12220,Lee County,140247,AL,1
108399999,521,603,717,966,1263,1,METRO26620M26620,Limestone County,82782,AL,1
108599999,588,691,829,1055,1451,1,METRO33860M33860,Lowndes County,11299,AL,1
108799999,453,456,606,871,1012,1,NCNTY01087N01087,Macon County,21452,AL,0
108999999,521,603,717,966,1263,1,METRO26620M26620,Madison County,334811,AL,1
109199999,483,498,606,881,1067,1,NCNTY01091N01091,Marengo County,21027,AL,0
109399999,453,456,606,804,953,1,NCNTY01093N01093,Marion County,30776,AL,0
109599999,468,471,623,845,849,1,NCNTY01095N01095,Marshall County,93019,AL,0
109799999,679,683,840,1102,1276,1,METRO33660M33660,Mobile County,412992,AL,1
109999999,483,528,606,774,941,1,NCNTY01099N01099,Monroe County,23068,AL,0
110199999,588,691,829,1055,1451,1,METRO33860M33860,Montgomery County,229363,AL,1
110399999,443,523,669,873,926,1,METRO19460M19460,Morgan County,119490,AL,1
110599999,513,528,606,854,857,1,NCNTY01105N01105,Perry County,10591,AL,0
110799999,451,456,606,822,825,1,METRO46220N01107,Pickens County,19746,AL,1
110999999,502,505,606,823,825,1,NCNTY01109N01109,Pike County,32899,AL,0
111199999,452,491,621,887,978,1,NCNTY01111N01111,Randolph County,22913,AL,0
111399999,621,685,823,1142,1450,1,METRO17980M17980,Russell County,52947,AL,1
